Company Name,Startup Link,Location,Description
Abra,https://www.abra.com/,"Palo Alto, CA","The Simplest Way to Invest in Cryptocurrencies.Palo Alto, CAabra.com"
Aragon,https://aragon.org/,Barcelona. Spain,Unstoppable Organizations.Barcelona. Spainaragon.org
Atomic Fund,https://atomic.fund/,Decentralized,Digital Financial Services.Decentralizedatomic.fund
Bison Trails,https://blog.coinbase.com/coinbase-to-acquire-leading-blockchain-infrastructure-platform-bison-trails-f879654421d6?gi=763d02f57477,"New York City, NY","Pioneering Blockchain Infrastructure. New York City, NYbisontrails.co"
Bitcoin,https://bitcoin.org/en/,Decentralized,Decentralized Digital Currency.Decentralizedbitcoin.org
Bitrefill,https://www.bitrefill.com/,"Stockholm, Sweden","Live on Cryptocurrency, Buy Gift Vouchers and Phone RefillsStockholm, Swedenbitrefill.com"
BlockCypher,https://www.blockcypher.com/,"Redwood City, CA","Blockchain Web Services.Redwood City, CAblockcypher.com"
Casa,https://keys.casa/,"New York, NY","The Best Personal Key System on the Planet.New York, NYkeys.casa"
Coinbase,https://www.coinbase.com/,"San Francisco, CA","Easiest and Most Trusted Place to Buy, Sell, and Manage your Digital Currency.San Francisco, CAcoinbase.com"
Coinhako,https://www.coinhako.com/,Singapore,Buy and Sell Digital Assets in Singapore and Malaysia.Singaporecoinhako.com
CoinJar,https://www.coinjar.com/,"Melbourne, Australia","The Simplest Way to Send, Receive and Store Cryptocurrency.Melbourne, Australiacoinjar.com"
Coinut,https://coinut.com/,Singapore,The Most Secure Cryptocurrency Exchange Platform.Singaporecoinut.com
Credshields,https://credshields.com,"Bengaluru, India","Next-Gen Security Services for Next-Gen Applications.Bengaluru, Indiacredshields.com"
Data Lake,https://data-lake.co,Decentralized,The Key to Unlocking Medical Data. Decentralizeddata-lake.co
Decentraland,https://decentraland.org/,"Buenos Aires, Argentina","A Decentralized Virtual World.Buenos Aires, Argentinadecentraland.org"
DeFrag,https://defrag.fi,Decentralized,Instant loans for Genesis Legions.Decentralizeddefrag.fi
DFX,https://dfx.finance,Decentralized,FX on the Blockchain.Decentralized dfx.finance
EcoSapiens,/portcos-1/dnhkdk4ys98zqnpjjhsh1518epih9y,"San Francisco, CA","NFTs that Fight Climate Change.San Francisco, CAecosapiens.xyz"
Ethereum,/portcos-1/ecovmrxdzc7klm3rz6c2jevvvkwtxq,Decentralized,Decentralized Platform that Runs Smart Contracts.Decentralizedethereum.org
Etherscan,https://etherscan.io/,"Kuala Lumpur, Malaysia","The Ethereum Block Explorer.Kuala Lumpur, Malaysiaetherscan.io"
Fairmint,https://fairmint.co,"San Francisco, CA","A new way for a company to fundraise.San Francisco, CAfairmint.co"
Filecoin,https://filecoin.io/,"San Francisco, CA","Decentralized Storage Network.San Francisco, CAfilecoin.io"
Flote,https://flote.app,Decentralized,Community Driven Social NetworkDecentralizedflote.app
Gemini,https://www.gemini.com,Decentralized,A Simple and Secure Platform to Build your Crypto Portfolio.Decentralizedgemini.com
GGS,https://ggs.io,"Bogota, Colombia","Connects Web2 Gamers in Latin America with Earning Opportunities in Blockchain Gaming.Bogota, Colombiaggs.io/"
Gitopia,https://gitopia.org,Decentralized,The Future of Code Collaboration.Decentralizedgitopia.org
Good Money,https://goodmoney.com,"San Francisco, CA","World's first banking platform that will be owned by its customers. San Francisco, CAgoodmoney.com"
Guesser,https://www.guesser.io/,"Madrid, Spain","The easiest way to invest in the outcome of real world events.Madrid, Spainguesser.io"
Jsgenesis,https://www.jsgenesis.com/,"Oslo, Norway","We build�JoystreamOslo, Norwayjsgenesis.com"
Karma,https://showkarma.xyz,Decentralized,A Reputation System for DAO Contributors.Decentralized showkarma.xyz
Keep,https://keep.network/,"Atlanta, GA","A Privacy Layer for Ethereum.Atlanta, GAkeep.network"
Ledger,https://www.ledgerwallet.com/,"Paris, France","The Best Way to Secure Your Crypto Assets.Paris, Franceledgerwallet.com"
Lukka,https://www.libra.tech/,"New York, NY","Software and Data  to Support Operations for the Crypto Asset Ecosystem.New York, NYlukka.tech"
Map3,https://map3.xyz,Decentralized,Helps Crypto Services Supercharge Deposits.Decentralizedmap3.xyz
Molecule,https://www.molecule.to,"Berlin, Netherlands","A Decentralized Biotech Protocol, Building a Web3 Marketplace for Research-Related IP. Berlin, Netherlandsmolecule.to"
Monero,http://getmonero.org,Decentralized,"Private, Secure and Untraceable Cryptocurrency.Decentralizedgetmonero.org"
MyCrypto,https://mycrypto.com/,"Los Angeles, CA","The Easiest Way to Interact with the Blockchain.Los Angeles, CAmycrypto.com"
NiftyGateway,https://niftygateway.com,,"The Premier Marketplace for Nifties.New York, NYniftygateway.com"
Pods Finance,https://pods.finance/,Decentralized,The Easiest Way to Hedge Your Crypto.Decentralizedpods.finance
Polkadot,https://polkadot.network/,"Berlin, Germany","Blockchain Interoperability.Berlin, Germanypolkadot.network"
Polychain Capital,https://polychain.capital/,"San Francisco, CA","The Largest Cryptocurrency Investment Firm.San Francisco, CApolychain.capital"
POP Network,https://thepopnetwork.org,Decentralized,Streaming media economy built on blockchain & AI Decentralizedthepopnetwork.org
Protocol Labs,https://protocol.ai/,"San Francisco, CA","A Research, Development, and Deployment Institution for Improving Internet Technology.San Francisco, CAprotocol.ai"
Rehive,https://rehive.com/,"Cape Town, South Africa","Platform and Toolkit for Building and Launching Fintech Applications.Cape Town, South Africarehive.com"
Revault,https://revault.dev/,"Lisboa, Portugal","Institutional Bitcoin Custody Software with Focus on Security and Usability.Lisboa, Portugalrevault.dev"
Ripio,https://www.ripio.com/en/,"Buenos Aires, Argentina","Democratizing the Digital Economy in Emerging Markets.Buenos Aires, Argentinaripio.com"
Saddle,https://saddle.finance/,Decentralised,An Automated Market Maker Optimized for Pegged Value Crypto Assets.Decentralised saddle.finance
SFOX,https://www.sfox.com/,"San Francisco, CA","Single Point of Access to Global Cryptocurrency Markets.San Francisco, CAsfox.com"
Shakepay,https://shakepay.co/,"Montreal, Canada","The Easiest Way for Canadians to Buy and Sell Bitcoin.Montreal, Canadashakepay.co"
Skale Labs,https://www.skalelabs.com/,"San Francisco, CA","Scale Smart Contracts in Layer 2.San Francisco, CAskalelabs.com"
Snapshot,https://snapshot.org#/,Decentralized,Where Decisions get Made.Decentralizedsnapshot.org
Suredbits,http://suredbits.com/,"Iowa City, IA","Democratizing Access to Data.Iowa City, IAsuredbits.com"
Tamarin Health,https://www.simplyvitalhealth.com/,"Boston, MA","Collaborative, cross-clinical affiliation care management platform.Boston, MAtamarin.health"
The Block,https://theblockcrypto.com/,"New York City, NY","Crypto Simplified.New York City, NYtheblockcypto.com"
TheNifty,https://thenifty.com,"New York, NY","Fantasy Football for NFTs.New York, NYthenifty.com"
Sun Exchange,https://thesunexchange.com/,"Cape Town, South Africa","Solar Powered Money.Cape Town, South Africathesunexchange.com"
Thesis,https://thesis.co/,"Atlanta, GA","Blockchain Production Studio.Atlanta, GAthesis.co"
Unocoin,https://www.unocoin.com/,India,India�s Home for Digital Currency.Indiaunocoin.com
Witnet,https://witnet.io/#/,"Barcelona, Spain","Connecting Smart Contracts to Any External Data Source.Barcelona, Spainwitnet.io"
